book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
20819685-the-bone-clocks,https://www.goodreads.com/book/show/20819685-the-bone-clocks,The Bone Clocks (Hardcover),David Mitchell,3.83,"91,425",2014,2197,fiction
6319,https://www.goodreads.com/book/show/6319.The_BFG,The BFG (Paperback),Roald Dahl,4.20,"422,228",1982,2194,fiction
8855321-leviathan-wakes,https://www.goodreads.com/book/show/8855321-leviathan-wakes,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.25,"208,093",2011,2193,fiction
41219,https://www.goodreads.com/book/show/41219.Possession,Possession (Paperback),A.S. Byatt,3.87,"81,495",1990,2191,fiction
23437156-six-of-crows,https://www.goodreads.com/book/show/23437156-six-of-crows,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,"562,598",2015,2180,fiction
5890,https://www.goodreads.com/book/show/5890.The_Woman_in_White,The Woman in White (Paperback),Wilkie Collins,3.99,"144,851",1859,2179,fiction
19543,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are (Paperback),Maurice Sendak,4.22,"893,794",1963,2174,fiction
40024,https://www.goodreads.com/book/show/40024.The_Alienist,"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.04,"169,913",1994,2165,fiction
10996342-the-art-of-fielding,https://www.goodreads.com/book/show/10996342-the-art-of-fielding,The Art of Fielding (Hardcover),Chad Harbach,3.96,"114,391",2011,2164,fiction
248596,https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes,"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,3.92,"114,303",1962,2162,fiction
7967,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.07,"236,205",1986,2160,fiction
4271,https://www.goodreads.com/book/show/4271.About_a_Boy,About a Boy (Mass Market Paperback),Nick Hornby,3.79,"132,668",1998,2157,fiction
4009,https://www.goodreads.com/book/show/4009.Nine_Stories,Nine Stories (Paperback),J.D. Salinger,4.17,"140,926",1953,2156,fiction
12996,https://www.goodreads.com/book/show/12996.Othello,Othello (Paperback),William Shakespeare,3.89,"341,782",1603,2154,fiction
29588376-the-lies-of-locke-lamora,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.25,"259,512",2006,2151,fiction
5941033-let-the-great-world-spin,https://www.goodreads.com/book/show/5941033-let-the-great-world-spin,Let the Great World Spin (Hardcover),Colum McCann,3.92,"104,735",2009,2150,fiction
7235533-the-way-of-kings,https://www.goodreads.com/book/show/7235533-the-way-of-kings,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.60,"367,307",2010,2148,fiction
11529868-the-orphan-master-s-son,https://www.goodreads.com/book/show/11529868-the-orphan-master-s-son,The Orphan Master's Son (Hardcover),Adam Johnson,4.03,"99,388",2012,2141,fiction
47281,https://www.goodreads.com/book/show/47281.Number_the_Stars,Number the Stars (Mass Market Paperback),Lois Lowry,4.15,"497,332",1989,2140,fiction
4982,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan,The Sirens of Titan (Paperback),Kurt Vonnegut Jr.,4.13,"127,832",1959,2139,fiction
16176440-we-are-all-completely-beside-ourselves,https://www.goodreads.com/book/show/16176440-we-are-all-completely-beside-ourselves,We Are All Completely Beside Ourselves (Hardcover),Karen Joy Fowler,3.70,"115,223",2013,2137,fiction
7437,https://www.goodreads.com/book/show/7437.Naked_Lunch,Naked Lunch (Paperback),William S. Burroughs,3.46,"90,056",1959,2135,fiction
25489134-the-bear-and-the-nightingale,https://www.goodreads.com/book/show/25489134-the-bear-and-the-nightingale,"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,4.08,"153,335",2017,2132,fiction
10073506-tinker-tailor-soldier-spy,https://www.goodreads.com/book/show/10073506-tinker-tailor-soldier-spy,"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy #1)",John le Carré,4.03,"90,917",1974,2131,fiction
52867387-beach-read,https://www.goodreads.com/book/show/52867387-beach-read,Beach Read (Paperback),Emily Henry,4.05,"294,768",2020,2126,fiction
32829,https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth,Journey to the Center of the Earth (Paperback),Jules Verne,3.86,"171,699",1864,2126,fiction
43448,https://www.goodreads.com/book/show/43448.Flowers_in_the_Attic,"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.82,"180,390",1979,2117,fiction
11857408-fifty-shades-darker,https://www.goodreads.com/book/show/11857408-fifty-shades-darker,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,"806,477",2011,2112,fiction
223380,https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others,Stories of Your Life and Others (ebook),Ted Chiang,4.22,"81,408",2002,2110,fiction
41899,https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander,3.96,"373,445",2001,2110,fiction
8366402-the-tiger-s-wife,https://www.goodreads.com/book/show/8366402-the-tiger-s-wife,The Tiger's Wife (Hardcover),Téa Obreht,3.42,"100,844",2011,2104,fiction
77390,https://www.goodreads.com/book/show/77390.Anne_of_Avonlea,"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.18,"169,473",1909,2103,fiction
