book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre
6537,https://www.goodreads.com/book/show/6537.From_Potter_s_Field,"From Potter's Field (Kay Scarpetta, #6)",Patricia Cornwell,4.04,"56,341",1995,421,crime
6688087-the-crossing-places,https://www.goodreads.com/book/show/6688087-the-crossing-places,"The Crossing Places (Ruth Galloway, #1)",Elly Griffiths,3.90,"39,037",2009,420,crime
33230889-the-good-daughter,https://www.goodreads.com/book/show/33230889-the-good-daughter,"The Good Daughter (Good Daughter, #1)",Karin Slaughter,4.09,"137,848",2017,419,crime
4703581-the-city-the-city,https://www.goodreads.com/book/show/4703581-the-city-the-city,The City & the City (Hardcover),China Miéville,3.89,"65,676",2009,419,crime
8686068-the-devotion-of-suspect-x,https://www.goodreads.com/book/show/8686068-the-devotion-of-suspect-x,The Devotion of Suspect X (Detective Galileo #1),Keigo Higashino,4.13,"44,784",2005,418,crime
24192,https://www.goodreads.com/book/show/24192.The_Runaway_Jury,The Runaway Jury (Paperback),John Grisham,3.99,"294,227",1996,418,crime
834378,https://www.goodreads.com/book/show/834378.A_Pocket_Full_of_Rye,"A Pocket Full of Rye (Miss Marple, #6)",Agatha Christie,3.90,"36,581",1953,417,crime
2657,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,To Kill a Mockingbird (Paperback),Harper Lee,4.27,"5,033,656",1960,415,crime
84777,https://www.goodreads.com/book/show/84777.City_of_Bones,"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #10)",Michael Connelly,4.09,"49,055",2002,414,crime
32258,https://www.goodreads.com/book/show/32258.Body_Double,"Body Double (Rizzoli & Isles, #4)",Tess Gerritsen,4.16,"54,783",2004,411,crime
58962,https://www.goodreads.com/book/show/58962.Trunk_Music,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",Michael Connelly,4.18,"61,333",1997,411,crime
43931,https://www.goodreads.com/book/show/43931.The_Woods,The Woods (Hardcover),Harlan Coben,4.02,"92,675",2007,409,crime
19101283-the-son,https://www.goodreads.com/book/show/19101283-the-son,The Son (Hardcover),Jo Nesbø,4.06,"45,098",2014,409,crime
31300,https://www.goodreads.com/book/show/31300.A_Caribbean_Mystery,"A Caribbean Mystery (Miss Marple, #9)",Agatha Christie,3.83,"34,229",1964,407,crime
18144124-i-am-pilgrim,https://www.goodreads.com/book/show/18144124-i-am-pilgrim,I Am Pilgrim (Hardcover),Terry Hayes,4.26,"141,332",2013,406,crime
16078584-broken-homes,https://www.goodreads.com/book/show/16078584-broken-homes,"Broken Homes (Rivers of London, #4)",Ben Aaronovitch,4.16,"41,350",2013,406,crime
57806251-poirot-investigates,https://www.goodreads.com/book/show/57806251-poirot-investigates,"Poirot Investigates (Hercule Poirot, #3)",Agatha Christie,3.99,"51,501",1924,405,crime
81903,https://www.goodreads.com/book/show/81903.Curtain,"Curtain (Hercule Poirot, #44)",Agatha Christie,4.07,"39,565",1975,405,crime
16341,https://www.goodreads.com/book/show/16341.The_Moving_Finger,"The Moving Finger (Miss Marple, #3)",Agatha Christie,3.87,"36,032",1942,404,crime
2761626-the-brass-verdict,https://www.goodreads.com/book/show/2761626-the-brass-verdict,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #18)",Michael Connelly,4.15,"66,288",2008,404,crime
527744,https://www.goodreads.com/book/show/527744.After_the_Funeral,"After the Funeral (Hercule Poirot, #33)",Agatha Christie,3.90,"32,848",1953,402,crime
32502,https://www.goodreads.com/book/show/32502.Angels_Flight,"Angels Flight (Harry Bosch, #6; Harry Bosch Universe, #7)",Michael Connelly,4.18,"53,261",1999,401,crime
6541,https://www.goodreads.com/book/show/6541.Cause_of_Death,"Cause of Death (Kay Scarpetta, #7)",Patricia Cornwell,3.94,"47,637",1996,400,crime
16372,https://www.goodreads.com/book/show/16372.The_Mirror_Crack_d_from_Side_to_Side,The Mirror Crack'd from Side to Side (Miss Marple #8),Agatha Christie,3.93,"38,615",1962,398,crime
5764902-undone,https://www.goodreads.com/book/show/5764902-undone,"Undone (Will Trent, #3)",Karin Slaughter,4.18,"52,285",2009,398,crime
32255,https://www.goodreads.com/book/show/32255.Vanish,"Vanish (Rizzoli & Isles, #5)",Tess Gerritsen,4.12,"63,929",2005,398,crime
16333,https://www.goodreads.com/book/show/16333.At_Bertram_s_Hotel,"At Bertram's Hotel (Miss Marple, #10)",Agatha Christie,3.73,"31,656",1965,397,crime
77490,https://www.goodreads.com/book/show/77490.Hide_and_Seek,"Hide and Seek (Inspector Rebus, #2)",Ian Rankin,3.86,"24,161",1990,396,crime
220970,https://www.goodreads.com/book/show/220970.Tripwire,"Tripwire  (Jack Reacher, #3)",Lee Child,4.10,"107,337",1999,394,crime
32501,https://www.goodreads.com/book/show/32501.Echo_Park,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #16)",Michael Connelly,4.13,"54,455",2006,393,crime
128759,https://www.goodreads.com/book/show/128759.Fatal_Voyage,"Fatal Voyage (Temperance Brennan, #4)",Kathy Reichs,4.04,"49,016",2001,392,crime
40605285-the-sweetness-at-the-bottom-of-the-pie,https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,"161,748",2009,391,crime
140360,https://www.goodreads.com/book/show/140360.Three_Act_Tragedy,"Three Act Tragedy (Hercule Poirot, #11)",Agatha Christie,3.85,"29,387",1934,390,crime
37976541-bad-blood,https://www.goodreads.com/book/show/37976541-bad-blood,Bad Blood: Secrets and Lies in a Silicon Valley Startup (Hardcover),John Carreyrou,4.38,"210,606",2018,389,crime
6427,https://www.goodreads.com/book/show/6427.Two_for_the_Dough,"Two for the Dough (Stephanie Plum, #2)",Janet Evanovich,4.10,"156,211",1996,389,crime
40916679-a-good-girl-s-guide-to-murder,https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.36,"133,574",2019,388,crime
25526965-end-of-watch,https://www.goodreads.com/book/show/25526965-end-of-watch,"End of Watch (Bill Hodges Trilogy, #3)",Stephen King,4.08,"101,675",2016,388,crime
298663,https://www.goodreads.com/book/show/298663.The_Killer_Inside_Me,The Killer Inside Me (Paperback),Jim Thompson,3.88,"28,349",1952,387,crime
9606002-the-preacher,https://www.goodreads.com/book/show/9606002-the-preacher,"The Preacher (Patrik Hedström, #2)",Camilla Läckberg,3.81,"37,371",2004,385,crime
39863488-the-lost-man,https://www.goodreads.com/book/show/39863488-the-lost-man,The Lost Man (Hardcover),Jane Harper,4.16,"76,191",2018,385,crime
148584,https://www.goodreads.com/book/show/148584.Elephants_Can_Remember,"Elephants Can Remember (Hercule Poirot, #42)",Agatha Christie,3.67,"33,832",1972,385,crime
32254,https://www.goodreads.com/book/show/32254.The_Mephisto_Club,"The Mephisto Club (Rizzoli & Isles, #6)",Tess Gerritsen,4.02,"44,656",2006,384,crime
238126,https://www.goodreads.com/book/show/238126.Immortal_in_Death,"Immortal in Death (In Death, #3)",J.D. Robb,4.26,"50,689",1996,383,crime
16344,https://www.goodreads.com/book/show/16344.Dumb_Witness,"Dumb Witness (Hercule Poirot, #17)",Agatha Christie,3.88,"29,581",1937,382,crime
29981261-the-butterfly-garden,https://www.goodreads.com/book/show/29981261-the-butterfly-garden,"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,4.03,"147,869",2016,381,crime
16033842-la-v-rit-sur-l-affaire-harry-quebert,https://www.goodreads.com/book/show/16033842-la-v-rit-sur-l-affaire-harry-quebert,La Vérité sur l'affaire Harry Quebert (Paperback),Joël Dicker,4.10,"116,806",2012,377,crime
68930,https://www.goodreads.com/book/show/68930.They_Do_It_with_Mirrors,"They Do It with Mirrors (Miss Marple, #5)",Agatha Christie,3.80,"32,988",1952,376,crime
35356382-the-chalk-man,https://www.goodreads.com/book/show/35356382-the-chalk-man,The Chalk Man (Hardcover),C.J. Tudor,3.73,"82,876",2018,376,crime
29437949-behind-closed-doors,https://www.goodreads.com/book/show/29437949-behind-closed-doors,Behind Closed Doors (Hardcover),B.A. Paris,3.96,"377,987",2016,376,crime
