,book_id,book_url,book_title,author_name,ratings,num_of_ratings,date_published,book_shelved,book_genre,num_likes,rating_num_like,weighted_review_score
54,36809135-where-the-crawdads-sing,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,Where the Crawdads Sing (ebook),Delia Owens,4.46,"1,465,315",2018,9959,fiction,35043,117504.0,3.353137573837856
55,49552,https://www.goodreads.com/book/show/49552.The_Stranger,The Stranger (Paperback),Albert Camus,3.99,"812,587",1942,9850,fiction,11874,50957.0,4.291477177025434
56,30165203-american-gods,https://www.goodreads.com/book/show/30165203-american-gods,"American Gods (American Gods, #1)",Neil Gaiman,4.1,"827,574",2001,9777,fiction,13818,51170.0,3.7031408308004052
57,51704136-little-fires-everywhere,https://www.goodreads.com/book/show/51704136-little-fires-everywhere,Little Fires Everywhere (Paperback),Celeste Ng,4.09,"901,059",2017,9549,fiction,23481,89154.0,3.7968570333461096
58,18007564-the-martian,https://www.goodreads.com/book/show/18007564-the-martian,The Martian (Hardcover),Andy Weir,4.4,"925,053",2011,9541,fiction,29623,118180.0,3.9894676433852077
59,7144,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment (Paperback),Fyodor Dostoevsky,4.23,"714,574",1866,9527,fiction,12921,56855.0,4.400201222815571
60,7604,https://www.goodreads.com/book/show/7604.Lolita,Lolita (Paperback),Vladimir Nabokov,3.88,"723,713",1955,9345,fiction,20638,86088.0,4.171334431630972
61,1934,https://www.goodreads.com/book/show/1934.Little_Women,Little Women (Paperback),Louisa May Alcott,4.11,"1,854,461",1869,9295,fiction,11312,45487.0,4.021128005657709
62,17333223-the-goldfinch,https://www.goodreads.com/book/show/17333223-the-goldfinch,The Goldfinch (Hardcover),Donna Tartt,3.92,"797,984",2013,9255,fiction,28508,87211.0,3.0591763715448295
63,18774964-a-man-called-ove,https://www.goodreads.com/book/show/18774964-a-man-called-ove,A Man Called Ove (Hardcover),Fredrik Backman,4.35,"702,908",2012,9009,fiction,17398,77526.0,4.456029428669962
64,157993,https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,"1,615,886",1943,9005,fiction,14406,65461.0,4.544009440510898
65,31434883-eleanor-oliphant-is-completely-fine,https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine,Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman,4.26,"908,529",2017,8960,fiction,21689,95396.0,4.398358614966112
66,44767458-dune,https://www.goodreads.com/book/show/44767458-dune,"Dune (Dune, #1)",Frank Herbert,4.24,"967,875",1965,8895,fiction,19623,69761.0,3.5550629363502013
67,6334,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Never Let Me Go (Paperback),Kazuo Ishiguro,3.83,"549,716",2005,8751,fiction,12141,46403.0,3.8220080718227494
68,9969571-ready-player-one,https://www.goodreads.com/book/show/9969571-ready-player-one,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24,"988,219",2011,8686,fiction,19113,59072.0,3.0906712708627637
69,18114322-the-grapes-of-wrath,https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,The Grapes of Wrath (Hardcover),John Steinbeck,3.98,"807,578",1939,8428,fiction,6391,28478.0,4.455953684869348
70,6514,https://www.goodreads.com/book/show/6514.The_Bell_Jar,The Bell Jar (Paperback),Sylvia Plath,4.02,"681,499",1963,8423,fiction,8317,34491.0,4.147048214500421
71,37435,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees,The Secret Life of Bees (Paperback),Sue Monk Kidd,4.07,"1,183,192",2001,8387,fiction,3017,11047.0,3.6615843553198544
72,22628,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower (Paperback),Stephen Chbosky,4.21,"1,419,071",1999,8356,fiction,15742,56179.0,3.5687333248634228
73,41865,https://www.goodreads.com/book/show/41865.Twilight,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.62,"5,491,278",2005,8314,fiction,34281,62724.0,1.8297015839677955
74,5060378-the-girl-who-played-with-fire,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,"862,809",2006,8226,fiction,4969,20660.0,4.157778224994969
75,52578297-the-midnight-library,https://www.goodreads.com/book/show/52578297-the-midnight-library,The Midnight Library (Hardcover),Matt Haig,4.09,"670,753",2020,8168,fiction,25483,92276.0,3.6210807204803204
76,100915,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,"2,355,322",1950,8118,fiction,5275,22785.0,4.319431279620853
77,9361589-the-night-circus,https://www.goodreads.com/book/show/9361589-the-night-circus,The Night Circus (Hardcover),Erin Morgenstern,4.03,"790,873",2011,8021,fiction,27486,100521.0,3.6571709233791747
78,7126,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo (Paperback),Alexandre Dumas,4.26,"806,106",1844,7941,fiction,7559,35931.0,4.753406535255986
79,15823480-anna-karenina,https://www.goodreads.com/book/show/15823480-anna-karenina,Anna Karenina (Paperback),Leo Tolstoy,4.06,"730,254",1877,7932,fiction,13988,59836.0,4.2776665713468685
80,332613,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest (Mass Market Paperback),Ken Kesey,4.19,"674,942",1962,7797,fiction,9158,39423.0,4.304760864817646
81,17245,https://www.goodreads.com/book/show/17245.Dracula,Dracula (Paperback),Bram Stoker,4.0,"1,048,918",1897,7777,fiction,8144,29308.0,3.598722986247544
82,1953,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities (Paperback),Charles Dickens,3.86,"861,044",1859,7768,fiction,5705,23185.0,4.063978965819457
83,2187,https://www.goodreads.com/book/show/2187.Middlesex,Middlesex (Paperback),Jeffrey Eugenides,4.01,"608,493",2002,7716,fiction,7274,27881.0,3.8329667308221063
84,222910,https://www.goodreads.com/book/show/222910.The_Two_Towers,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,4.45,"795,943",1954,7694,fiction,3325,15180.0,4.565413533834587
85,31685789-room,https://www.goodreads.com/book/show/31685789-room,Room (Kindle Edition),Emma Donoghue,4.06,"768,585",2010,7672,fiction,7821,25722.0,3.288837744533947
86,13335037-divergent,https://www.goodreads.com/book/show/13335037-divergent,"Divergent (Divergent, #1)",Veronica Roth,4.17,"3,275,801",2011,7536,fiction,17052,47478.0,2.784306826178747
87,7244,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible (Hardcover),Barbara Kingsolver,4.07,"689,270",1998,7515,fiction,4892,18639.0,3.8100981193785772
88,36236124-fight-club,https://www.goodreads.com/book/show/36236124-fight-club,Fight Club (Paperback),Chuck Palahniuk,4.18,"538,041",1996,7486,fiction,8583,34343.0,4.001281603169055
89,485894,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis (Paperback),Franz Kafka,3.83,"749,704",1915,7475,fiction,14336,57136.0,3.9854910714285716
90,2623,https://www.goodreads.com/book/show/2623.Great_Expectations,Great Expectations (Paperback),Charles Dickens,3.78,"706,315",1860,7472,fiction,6877,29441.0,4.281081867093209
91,838729,https://www.goodreads.com/book/show/838729.The_Return_of_the_King,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54,"745,140",1955,7354,fiction,3754,17407.0,4.6369206180074585
92,12296,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,The Scarlet Letter (Paperback),Nathaniel Hawthorne,3.42,"760,457",1850,7344,fiction,6342,17154.0,2.704824976348155
93,41817486-a-clockwork-orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange (Paperback),Anthony Burgess,3.99,"654,195",1962,7289,fiction,6219,27759.0,4.4635793535938255
94,14935,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility,Sense and Sensibility (Paperback),Jane Austen,4.08,"1,037,908",1811,7272,fiction,8342,31270.0,3.7485015583792856
95,15783514-the-ocean-at-the-end-of-the-lane,https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane,The Ocean at the End of the Lane (Hardcover),Neil Gaiman,4.0,"531,989",2013,7198,fiction,15125,66468.0,4.394578512396694
96,52892857-the-color-purple,https://www.goodreads.com/book/show/52892857-the-color-purple,The Color Purple (Paperback),Alice Walker,4.24,"575,223",1982,7174,fiction,7306,33168.0,4.53983027648508
97,35959740-circe,https://www.goodreads.com/book/show/35959740-circe,Circe (Hardcover),Madeline Miller,4.26,"556,886",2018,7169,fiction,36531,157475.0,4.310722400153295
98,29044,https://www.goodreads.com/book/show/29044.The_Secret_History,The Secret History (Paperback),Donna Tartt,4.11,"403,009",1992,7143,fiction,16105,60643.0,3.765476560074511
99,6892870-the-girl-who-kicked-the-hornet-s-nest,https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22,"691,319",2007,7120,fiction,5299,21239.0,4.0081147386299305
100,52036,https://www.goodreads.com/book/show/52036.Siddhartha,Siddhartha (Mass Market Paperback),Hermann Hesse,4.04,"647,212",1922,7096,fiction,7596,30490.0,4.013954713006846
101,1232,https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.27,"533,719",2001,7055,fiction,13192,54149.0,4.104684657368102
102,10572,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.4,"839,756",1998,7016,fiction,6210,23017.0,3.7064412238325284
103,36576608-flowers-for-algernon,https://www.goodreads.com/book/show/36576608-flowers-for-algernon,Flowers for Algernon (Paperback),Daniel Keyes,4.16,"537,479",1959,7013,fiction,7304,34517.0,4.725766703176341
104,20170404-station-eleven,https://www.goodreads.com/book/show/20170404-station-eleven,Station Eleven (Hardcover),Emily St. John Mandel,4.05,"372,709",2014,6978,fiction,21674,88272.0,4.072713850696688
105,4406,https://www.goodreads.com/book/show/4406.East_of_Eden,East of Eden (Paperback),John Steinbeck,4.38,"464,766",1952,6902,fiction,6646,31038.0,4.670177550406259
106,4900,https://www.goodreads.com/book/show/4900.Heart_of_Darkness,Heart of Darkness (Paperback),Joseph Conrad,3.44,"453,994",1899,6862,fiction,6505,19915.0,3.0614911606456574
107,16299,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,And Then There Were None (Paperback),Agatha Christie,4.26,"996,440",1939,6824,fiction,8194,34899.0,4.259092018550159
108,12067,https://www.goodreads.com/book/show/12067.Good_Omens,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett,4.23,"614,971",1990,6822,fiction,9441,36620.0,3.87882639550895
109,33574273-a-wrinkle-in-time,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,"1,112,688",1962,6782,fiction,7357,25169.0,3.4210955552535003
110,153747,https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale (Paperback)",Herman Melville,3.52,"505,479",1851,6775,fiction,7453,26428.0,3.545954649134577
