book_title,author_name,ratings,num_of_ratings,date_published
The Blind Assassin (Paperback),Margaret Atwood,3.95,"147,042",2000
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,3.81,"242,782",2009
White Teeth (Paperback),Zadie Smith,3.79,"138,573",2000
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.13,"404,156",1997
The Dutch House (Hardcover),Ann Patchett,4.10,"317,843",2019
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.97,"386,154",1951
Cutting for Stone (Hardcover),Abraham   Verghese,4.29,"353,780",2009
Gilead (Paperback),Marilynne Robinson,3.83,"98,508",2004
"Robinson Crusoe (Robinson Crusoe, #1)",Daniel Defoe,3.68,"267,333",1719
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.07,"293,194",1844
Carrie (Mass Market Paperback),Stephen King,3.97,"582,176",1974
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92,"1,559,302",2002
Mansfield Park (Paperback),Jane Austen,3.86,"306,455",1814
Breakfast at Tiffany's and Three Stories (Paperback),Truman Capote,3.87,"226,476",1958
The Man in the High Castle (Paperback),Philip K. Dick,3.62,"197,058",1962
Interpreter of Maladies (Hardcover),Jhumpa Lahiri,4.16,"170,936",1999
Orlando (Paperback),Virginia Woolf,3.86,"71,785",1928
Piranesi (Hardcover),Susanna Clarke,4.28,"93,467",2020
The Runaway Jury (Paperback),John Grisham,3.99,"294,095",1996
Hyperion (Mass Market Paperback),Dan Simmons,4.23,"211,870",1989
The Water Dancer (Hardcover),Ta-Nehisi Coates,4.07,"90,997",2019
Doctor Sleep (Hardcover),Stephen King,4.10,"225,187",2013
Lady Chatterley's Lover (Hardcover),D.H. Lawrence,3.50,"109,954",1928
Ethan Frome (Paperback),Edith Wharton,3.43,"119,029",1911
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,3.96,"273,263",2014
Sputnik Sweetheart (Paperback),Haruki Murakami,3.82,"126,104",1999
Empire Falls (Paperback),Richard Russo,3.91,"120,533",2001
Congo (Paperback),Michael Crichton,3.62,"168,899",1980
Gravity's Rainbow (Paperback),Thomas Pynchon,3.95,"43,147",1973
Uprooted (Hardcover),Naomi Novik,4.04,"201,829",2015
