book_title,author_name,ratings,num_of_ratings,date_published
Charlotte's Web (Paperback),E.B. White,4.18,"1,568,559",1952
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.27,"2,301,799",2005
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,4.01,"479,349",2006
The Name of the Rose (Paperback),Umberto Eco,4.13,"330,042",1980
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.91,"1,096,970",2011
A Confederacy of Dunces (Paperback),John Kennedy Toole,3.88,"248,100",1980
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,3.73,"189,116",2012
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.18,"460,222",1934
Treasure Island (Hardcover),Robert Louis Stevenson,3.84,"435,649",1883
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.51,"805,308",2007
The Art of Racing in the Rain (Hardcover),Garth Stein,4.21,"475,843",2008
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,3.71,"1,460,713",2008
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,3.87,"395,779",2013
The Fountainhead (Mass Market Paperback),Ayn Rand,3.87,"308,327",1943
Homegoing (Hardcover),Yaa Gyasi,4.46,"239,131",2016
The Wind-Up Bird Chronicle (Paperback),Haruki Murakami,4.15,"240,443",1994
The Trial (Paperback),Franz Kafka,3.95,"264,633",1925
Don Quixote (Paperback),Miguel de Cervantes Saavedra,3.88,"233,272",1615
The Call of the Wild (Mass Market Paperback),Jack London,3.88,"374,003",1903
All Quiet on the Western Front (Mass Market Paperback),Erich Maria Remarque,4.00,"381,136",1929
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,3.78,"104,799",1999
Dear John (Hardcover),Nicholas Sparks,4.03,"568,661",2006
"The Death Cure (The Maze Runner, #3)",James Dashner,3.77,"381,343",2011
Fathers and Sons (Paperback),Ivan Turgenev,3.96,"77,751",1862
The Book of Lost Things (Hardcover),John Connolly,3.91,"81,875",2006
Kitchen (Paperback),Banana Yoshimoto,3.87,"59,402",1988
The Housekeeper and the Professor (Paperback),Yōko Ogawa,4.01,"42,485",2003
"I, Claudius (Claudius, #1)",Robert Graves,4.20,"63,683",1934
The Portrait of a Lady (Paperback),Henry James,3.77,"77,448",1881
The Uncommon Reader (Hardcover),Alan Bennett,3.75,"44,966",2007
"Old Man's War (Old Man's War, #1)",John Scalzi,4.19,"184,075",2005
Balzac and the Little Chinese Seamstress (Paperback),Dai Sijie,3.64,"62,082",2000
The Invention of Hugo Cabret (Hardcover),Brian Selznick,4.19,"178,816",2007
"Children of Dune (Dune Chronicles, #3)",Frank Herbert,3.95,"126,871",1976
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.30,"755,436",2010
Euphoria (Hardcover),Lily King,3.84,"82,350",2014
Evvie Drake Starts Over (Hardcover),Linda  Holmes,3.84,"106,030",2019
"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,3.98,"146,616",2000
The City & the City (Hardcover),China Miéville,3.89,"65,631",2009
"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,4.27,"120,412",2016
"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,4.48,"311,483",2008
"You (You, #1)",Caroline Kepnes,3.92,"185,260",2014
Sophie's Choice (Paperback),William Styron,4.18,"85,624",1979
"Eligible: A Modern Retelling of Pride & Prejudice (The Austen Project, #4)",Curtis Sittenfeld,3.61,"83,347",2016
"Vicious (Villains, #1)",V.E. Schwab,4.20,"143,290",2013
Light in August (Paperback),William Faulkner,3.92,"60,028",1932
"An Absolutely Remarkable Thing (The Carls, #1)",Hank Green,4.03,"83,467",2018
The Castle (Paperback),Franz Kafka,3.95,"49,718",1922
Our Souls at Night (Hardcover),Kent Haruf,3.91,"67,984",1984
Hard Times (Paperback),Charles Dickens,3.54,"62,667",1854
"Plainsong (Plainsong, #1)",Kent Haruf,4.01,"69,572",1999
The Moonstone (Paperback),Wilkie Collins,3.90,"91,007",1868
The Heart's Invisible Furies (Hardcover),John Boyne,4.48,"100,823",2017
The Keeper of Lost Things (ebook),Ruth Hogan,3.81,"116,076",2017
The Last of the Mohicans (The Leatherstocking Tales #2),James Fenimore Cooper,3.70,"96,515",1826
The Tenant of Wildfell Hall (Paperback),Anne Brontë,3.98,"97,202",1848
Christine (Paperback),Stephen King,3.80,"217,981",1983
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.96,"182,363",2008
"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,4.23,"256,929",1990
I Am Legend (Kindle Edition),Richard Matheson,4.06,"109,951",1954
Midnight in the Garden of Good and Evil (Paperback),John Berendt,3.91,"248,620",1994
Ham on Rye (Paperback),Charles Bukowski,4.14,"91,039",1982
The Illustrated Man (Paperback),Ray Bradbury,4.11,"89,711",1951
Saturday (Paperback),Ian McEwan,3.62,"71,387",2005
The Girl Who Loved Tom Gordon (Paperback),Stephen King,3.62,"144,979",1999
It's Kind of a Funny Story (Paperback),Ned Vizzini,4.08,"234,058",2006
Sourdough (Hardcover),Robin Sloan,3.76,"47,234",2017
The Power and the Glory (Paperback),Graham Greene,3.95,"37,558",1940
Once Upon a River (Hardcover),Diane Setterfield,3.95,"68,177",2018
Angle of Repose (Paperback),Wallace Stegner,4.21,"58,190",1971
The Haunting of Hill House (Paperback),Shirley Jackson,3.83,"204,987",1959
Middlemarch (Paperback),George Eliot,3.99,"144,025",1871
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.98,"345,919",1983
Sophie's World (Paperback),Jostein Gaarder,3.94,"226,739",1991
Fried Green Tomatoes at the Whistle Stop Cafe (Hardcover),Fannie Flagg,4.27,"282,131",1987
Thirteen Reasons Why (Hardcover),Jay Asher,3.88,"852,736",2007
Dubliners (Paperback),James Joyce,3.85,"132,712",1914
A Separate Peace (Paperback),John Knowles,3.59,"200,132",1959
David Copperfield (Paperback),Charles Dickens,4.01,"211,270",1849
"In the Woods (Dublin Murder Squad, #1)",Tana French,3.77,"354,447",2007
Watchmen (Paperback),Alan Moore,4.37,"512,776",1987
Like Water for Chocolate (Paperback),Laura Esquivel,3.95,"338,360",1989
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.29,"268,980",1892
The War of the Worlds (Paperback),H.G. Wells,3.83,"269,874",1897
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.21,"512,350",1988
Fangirl (Kindle Edition),Rainbow Rowell,4.00,"659,667",2013
Speak (Hardcover),Laurie Halse Anderson,4.03,"520,845",1999
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.08,"1,777,725",2007
The Idiot (Paperback),Fyodor Dostoevsky,4.18,"149,681",1869
The Woman in the Window (Kindle Edition),A.J. Finn,3.95,"602,656",2018
What Alice Forgot (Paperback),Liane Moriarty,4.07,"396,537",2009
"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness,4.00,"429,658",2011
"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,4.27,"198,780",2015
"Sing, Unburied, Sing (Hardcover)",Jesmyn Ward,4.02,"116,161",2017
Tess of the D'Urbervilles (Paperback),Thomas Hardy,3.81,"253,549",1891
"Origin (Robert Langdon, #5)",Dan Brown,3.87,"287,376",2017
On Earth We're Briefly Gorgeous (Hardcover),Ocean Vuong,4.05,"133,860",2019
The Boy in the Striped Pajamas (Hardcover),John Boyne,4.15,"621,994",2006
The Nickel Boys (Kindle Edition),Colson Whitehead,4.25,"187,743",2019
She's Come Undone (Mass Market Paperback),Wally Lamb,3.89,"326,707",1992
The White Tiger (Hardcover),Aravind Adiga,3.75,"177,216",2008
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.97,"410,274",1900
Turtles All the Way Down (Hardcover),John Green,3.92,"404,528",2017
"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,3.77,"820,119",2003
The Tales of Beedle the Bard (Hogwarts Library),J.K. Rowling,4.04,"451,132",2008
Pet Sematary (Kindle Edition),Stephen King,4.02,"476,017",1983
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.95,"266,543",1953
Freedom (Hardcover),Jonathan Franzen,3.76,"159,995",2010
Exit West (Hardcover),Mohsin Hamid,3.78,"118,148",2017
Choke (Paperback),Chuck Palahniuk,3.70,"200,368",2001
Snow Flower and the Secret Fan (Kindle Edition),Lisa See,4.07,"356,753",2005
The Awakening (Paperback),Kate Chopin,3.66,"181,163",1899
Anansi Boys (American Gods #2),Neil Gaiman,4.01,"211,688",2005
Fear and Loathing in Las Vegas (Paperback),Hunter S. Thompson,4.07,"321,797",1971
The Importance of Being Earnest (Paperback),Oscar Wilde,4.17,"326,315",1895
My Grandmother Asked Me to Tell You She's Sorry (Hardcover),Fredrik Backman,4.05,"185,828",2013
The Green Mile (Paperback),Stephen King,4.45,"272,504",1996
Little Bee (Paperback),Chris Cleave,3.71,"233,848",2008
Annihilation (Paperback),Jeff VanderMeer,3.73,"176,736",2014
"The Left Hand of Darkness (Hainish Cycle, #4)",Ursula K. Le Guin,4.08,"139,768",1969
The Quiet American (Paperback),Graham Greene,3.94,"57,864",1955
A Connecticut Yankee in King Arthur's Court (Paperback),Mark Twain,3.76,"101,572",1889
The Chosen (Reuven Malther #1),Chaim Potok,4.04,"90,686",1966
The Lowland (Hardcover),Jhumpa Lahiri,3.85,"90,942",2013
Paradise Lost (Paperback),John Milton,3.81,"151,895",1667
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.13,"835,350",2008
"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,4.12,"285,363",2008
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.97,"102,795",1959
"Ninth House (Alex Stern, #1)",Leigh Bardugo,4.04,"150,808",2019
"Practical Magic (Practical Magic, #1)",Alice Hoffman,3.75,"97,024",1995
Doctor Zhivago (Paperback),Boris Pasternak,3.99,"91,378",1957
Ishmael (Kindle Edition),Daniel Quinn,3.97,"91,115",1992
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,3.89,"188,082",2005
The Prince of Tides (Paperback),Pat Conroy,4.23,"201,154",1986
Hamnet (Hardcover),Maggie O'Farrell,4.27,"111,786",2020
Galápagos (Paperback),Kurt Vonnegut Jr.,3.85,"75,800",1985
Nausea (Hardcover),Jean-Paul Sartre,3.92,"97,268",1938
All the Bright Places (Hardcover),Jennifer Niven,4.14,"399,393",2015
The Plot Against America (Paperback),Philip Roth,3.76,"60,285",2004
Unaccustomed Earth (Hardcover),Jhumpa Lahiri,4.07,"92,411",2008
"The Scorch Trials (The Maze Runner, #2)",James Dashner,3.90,"505,205",2010
Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.30,"1,255,738",1974
This Is How It Always Is (Kindle Edition),Laurie Frankel,4.25,"142,871",2017
Foundation and Empire (Foundation #2),Isaac Asimov,4.21,"176,777",1952
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.31,"711,979",2010
"Out of the Silent Planet (The Space Trilogy, #1)",C.S. Lewis,3.91,"85,199",1938
Swann's Way (Paperback),Marcel Proust,4.10,"53,721",1913
On Chesil Beach (Hardcover),Ian McEwan,3.59,"87,983",2007
The Westing Game (Paperback),Ellen Raskin,4.00,"196,093",1978
"Everything, Everything (Hardcover)",Nicola Yoon,4.02,"474,401",2015
"Will Grayson, Will Grayson (Hardcover)",John Green,3.74,"367,686",2010
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.84,"769,761",2012
Gathering Blue (Paperback),Lois Lowry,3.81,"175,632",2000
They Both Die at the End (Hardcover),Adam Silvera,4.01,"289,074",2017
Peace Like a River (Paperback),Leif Enger,3.96,"89,252",2001
V for Vendetta (Hardcover),Alan Moore,4.25,"287,052",1990
Go Tell It on the Mountain (Paperback),James Baldwin,4.01,"60,640",1953
The Dead Zone (Mass Market Paperback),Stephen King,3.94,"203,626",1979
From the Mixed-Up Files of Mrs. Basil E. Frankweiler (Paperback),E.L. Konigsburg,4.14,"201,102",1967
The Institute (Hardcover),Stephen King,4.20,"179,527",2019
Where the Heart Is (Paperback),Billie Letts,4.02,"244,343",1995
The Story of a New Name (The Neapolitan Novels #2),Elena Ferrante,4.41,"129,297",2012
A Long Way Down (Hardcover),Nick Hornby,3.44,"86,215",2005
"Wizard and Glass (The Dark Tower, #4)",Stephen King,4.22,"181,788",1997
Waiting for Godot (Paperback),Samuel Beckett,3.83,"177,574",1952
Bring Up the Bodies (Thomas Cromwell #2),Hilary Mantel,4.20,"92,248",2012
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,4.03,"408,132",2017
Alice in Wonderland (Hardcover),Jane Carruth,4.02,"389,426",1865
The Four Winds (Hardcover),Kristin Hannah,4.32,"293,038",2021
"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.11,"167,372",1937
